starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 10 01:55:08 2019	1547052908	0	1014	1014	780
Thu Jan 10 01:55:08 2019	1547052908	1	1014	1015	766
Thu Jan 10 01:55:03 2019	1547052903	2	1015	1017	419
Thu Jan 10 01:55:03 2019	1547052903	3	1015	1017	1
Thu Jan 10 01:55:08 2019	1547052908	0	1019	1019	799
Thu Jan 10 01:55:08 2019	1547052908	0	1019	1020	784
Thu Jan 10 01:55:06 2019	1547052906	1	1024	1024	205
Thu Jan 10 01:55:08 2019	1547052908	0	1031	1031	796
Thu Jan 10 01:55:08 2019	1547052908	0	1033	1033	798
Thu Jan 10 01:55:04 2019	1547052904	0	1037	1038	962
Thu Jan 10 01:55:06 2019	1547052906	0	1047	1047	504
Thu Jan 10 01:55:08 2019	1547052908	0	1049	1049	763
Thu Jan 10 01:55:06 2019	1547052906	0	1056	1057	135
Thu Jan 10 01:55:06 2019	1547052906	0	1061	1061	208
Thu Jan 10 01:55:04 2019	1547052904	0	1062	1062	456
Thu Jan 10 01:55:08 2019	1547052908	0	1062	1063	797
Thu Jan 10 01:55:06 2019	1547052906	0	1063	1063	167
Thu Jan 10 01:55:08 2019	1547052908	0	1063	1064	781
Thu Jan 10 01:55:08 2019	1547052908	0	1064	1064	971
Thu Jan 10 01:55:04 2019	1547052904	0	1065	1065	428
Thu Jan 10 01:55:08 2019	1547052908	0	1069	1069	912
Thu Jan 10 01:55:08 2019	1547052908	1	1069	1070	874
Thu Jan 10 01:55:04 2019	1547052904	0	1075	1075	455
Thu Jan 10 01:55:08 2019	1547052908	0	1079	1080	783
Thu Jan 10 01:55:08 2019	1547052908	0	1080	1080	878
Thu Jan 10 01:55:07 2019	1547052907	0	1081	1081	490
Thu Jan 10 01:55:06 2019	1547052906	0	1082	1082	319
Thu Jan 10 01:55:08 2019	1547052908	1	1082	1083	797
Thu Jan 10 01:55:08 2019	1547052908	0	1085	1085	954
Thu Jan 10 01:55:08 2019	1547052908	0	1086	1086	941
