instructions:u,cycles:u
1698187,1767657
None,None
2064732,2288678
901133,1002580
2206384,2331847
2232583,2337191
1628469,1709511
None,None
2019071,2258364
727440,777446
2142942,2261135
2238239,2338661
1569961,1654418
None,None
1978606,2154415
840397,1001299
2183803,2307078
2191999,2319956
1692257,1755218
None,None
1857420,1996640
699140,764909
2143137,2326606
2233938,2339072
1605085,1684281
None,None
2097900,2300214
666395,727736
2090205,2270427
2250322,2356888
1501220,1576104
None,None
1841022,1984438
689604,745855
2118327,2225781
2172379,2329717
1563563,1619742
None,None
2063936,2289291
714162,769747
2166784,2311557
2144767,2327390
1527245,1595690
None,None
2090328,2287182
924782,1035680
2178313,2313459
2156289,2332676
1564549,1645904
None,None
2091952,2291634
687174,740390
2145750,2275000
2177318,2329988
1504171,1591499
None,None
2077128,2271572
733213,789157
2117773,2254037
2208262,2339373
1567660,1692665
None,None
2118963,2314013
708396,764525
2064656,2206486
2204401,2333108
1503262,1646332
None,None
2104871,2299499
820053,934819
2160863,2306098
2219601,2329815
1586257,1723964
None,None
1794693,1973024
696171,755244
2078367,2201330
2188560,2317807
1580200,1672293
None,None
2012018,2268578
719829,789818
2142486,2302028
2196537,2319233
1718465,1823141
None,None
2003665,2274440
851440,968339
2160783,2309456
2193196,2322580
1727957,1821452
None,None
1889744,2060862
819149,961960
2144811,2301542
2189971,2325066
1655344,1745054
None,None
1930978,2098862
789172,949728
2146700,2316744
2188067,2319201
1625369,1727409
None,None
2080165,2285774
682722,766472
2092403,2306264
2211656,2338938
1628147,1720712
None,None
2004138,2200367
689164,739751
2113406,2311079
2178814,2334148
1548133,1636427
None,None
1991447,2194412
874011,988908
2114110,2311821
2146373,2300788
1621312,1726078
None,None
1954230,2117726
693885,752514
2080370,2223852
2144700,2333717
1543186,1659596
None,None
1869134,2025003
855330,957703
2154968,2317016
2115792,2295182
1646903,1754345
None,None
1859365,2031405
862473,975524
2147900,2317026
2124090,2324295
1631376,1730349
None,None
2078574,2278103
845656,956233
2155577,2314607
2095228,2320814
1697661,1819445
None,None
1760979,1904405
702187,767668
2156950,2307199
2176725,2320923
1544216,1684585
None,None
2043064,2271456
802377,906594
2140695,2313074
2154173,2309330
1677024,1818117
None,None
2091878,2301250
698038,778921
2170360,2345817
2189305,2314938
1592351,1741326
None,None
2064699,2273632
756265,814976
2141505,2307343
2180180,2326777
1675660,1790407
None,None
2023961,2294233
715535,801686
2158660,2312472
2189046,2334560
1565222,1663410
None,None
1979504,2244664
686596,747151
2136895,2286471
2173194,2336467
1547652,1621959
None,None
1970298,2227758
859295,982202
2173142,2321774
2186485,2332435
1605313,1740094
None,None
2014956,2274880
778968,871327
2157584,2337336
2164565,2301227
1724504,1825259
None,None
2010434,2264759
886667,1006237
2190368,2345246
2163986,2328818
1643383,1740097
None,None
2045797,2233911
838245,994605
2170321,2309206
2171697,2309474
1630336,1730651
None,None
2075655,2284798
670529,783176
2122658,2277698
2176167,2336141
1604891,1722297
None,None
1772496,1931850
690370,760164
2024671,2245525
2169912,2327720
1549810,1664552
None,None
2053391,2282021
880832,998802
2050391,2306294
2157476,2341043
1624285,1753024
None,None
2021407,2239344
685487,753660
2092276,2330008
2158701,2329522
1521688,1638675
None,None
1824012,1993014
765700,870501
2138082,2316292
2116526,2317288
1613641,1731321
None,None
2032948,2243607
699895,755887
2116432,2318271
2109282,2325333
1579695,1715428
None,None
2018468,2274555
732739,813708
2071209,2258939
2114156,2334386
1617166,1738004
None,None
2075484,2286523
701777,780825
2128315,2328879
2095283,2325651
1536670,1668777
None,None
